Name,Team,G,PA,1B,HR,R,RBI,wOBA,Off,Def,WAR,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LA,Barrel%,maxEV,HardHit%,WPA,wRAA,NameASCII,PlayerId,MLBAMID,ovr_rank,hit_rank
Aaron Judge,NYY,386,1704,69,1,2,2,1,1,49,1,1,3,2,72,1,1,1,2,17.23395913334216,1,118.357,1,1,1,Aaron Judge,15640,592450,1.2,1.2857142857142858
Shohei Ohtani,- - -,414,1824,64,3,8,5,3,2,74,7,3,12,6,60,6,2,2,16,13.53517593530894,2,119.207,2,4,3,Shohei Ohtani,19755,660271,8.733333333333333,3.4285714285714284
Yordan Alvarez,HOU,366,1561,51,10,24,17,2,5,65,9,2,5,4,27,3,3,3,20,16.01971905048077,3,117.719,3,2,5,Yordan Alvarez,19556,670541,9.172413793103448,5.857142857142857
Juan Soto,- - -,436,1928,66,8,5,19,4,4,63,5,4,31,1,19,2,9,10,63,8.830950738555261,6,115.731,4,5,2,Juan Soto,20123,665742,29.014084507042252,7.428571428571429
Kyle Schwarber,PHI,428,1915,79,2,6,7,18,24,79,64,21,79,3,78,30,19,4,78,18.135180593569537,4,115.557,6,17,17,Kyle Schwarber,16478,656941,34.15625,8.428571428571429
Matt Olson,ATL,448,1942,77,5,12,4,13,17,60,35,16,59,13,68,31,13,6,58,16.013235118894272,10,118.618,9,19,9,Matt Olson,14344,621566,30.155172413793103,9.571428571428571
Pete Alonso,NYM,438,1879,78,4,16,1,22,23,72,44,18,69,34,52,46,16,5,77,17.170812109375,13,116.542,39,25,20,Pete Alonso,19251,624413,41.803030303030305,13.857142857142858
Kyle Tucker,HOU,367,1545,63,21,49,18,9,8,40,19,8,30,9,10,14,10,11,71,17.55213563874551,25,111.325,37,6,13,Kyle Tucker,18345,663656,35.25316455696203,14.428571428571429
Rafael Devers,BOS,405,1755,52,14,19,13,8,11,39,20,10,11,33,45,11,5,9,17,12.25471425845923,14,115.043,5,13,7,Rafael Devers,17350,646240,19.666666666666668,14.428571428571429
Mookie Betts,LAD,373,1692,48,15,4,31,6,6,35,4,6,9,14,11,8,4,8,40,19.81701059810451,32,110.127,26,3,6,Mookie Betts,13611,605141,22.45,16
Marcell Ozuna,ATL,392,1626,57,6,39,25,11,26,73,54,15,37,45,61,43,8,7,45,15.75587063609894,5,115.334,15,29,16,Marcell Ozuna,10324,542303,13.1,16.285714285714285
Freddie Freeman,LAD,436,1945,16,33,1,8,5,3,56,2,5,2,18,15,4,6,22,1,14.231551948635058,29,112.337,33,7,4,Freddie Freeman,5361,518692,15.78,17.142857142857142
Corey Seager,TEX,381,1680,43,12,25,29,10,15,19,11,11,21,36,21,21,7,12,56,13.414368965955283,12,114.441,14,9,10,Corey Seager,13624,608369,38.370370370370374,17.428571428571427
Vladimir Guerrero Jr.,TOR,440,1927,24,17,26,9,15,13,77,46,12,14,37,13,16,17,23,41,7.221741919424019,19,118.382,8,14,11,Vladimir Guerrero Jr.,19611,665489,25.636363636363637,18.857142857142858
Austin Riley,ATL,428,1877,56,9,10,26,14,18,33,18,17,32,54,67,34,14,14,22,13.909271636566558,7,116.081,11,24,12,Austin Riley,18360,663586,32.333333333333336,20.142857142857142
Christian Walker,ARI,424,1789,67,11,32,11,26,36,31,32,33,62,30,50,51,21,15,74,16.604969609117585,18,114.328,38,34,26,Christian Walker,13419,572233,42.578125,20.571428571428573
Paul Goldschmidt,STL,424,1851,39,20,18,28,16,12,69,34,14,27,20,62,20,23,25,15,14.293663532671651,23,112.349,19,23,15,Paul Goldschmidt,9218,502671,17.928571428571427,20.857142857142858
José Ramírez,CLE,434,1898,47,16,11,3,19,9,29,8,13,19,31,5,23,11,16,67,19.37070726242014,53,116.564,51,8,18,Jose Ramirez,13510,608070,45.45454545454545,21.571428571428573
Anthony Santander,BAL,424,1813,71,7,29,14,36,31,62,49,30,66,47,48,61,18,13,76,21.638971879948535,22,114.366,34,28,34,Anthony Santander,14551,623993,40.888888888888886,24.142857142857142
Manny Machado,SDP,404,1733,26,19,27,15,23,27,25,22,20,24,51,41,37,20,21,37,14.607450597426473,31,115.558,20,27,25,Manny Machado,11493,592518,36.34782608695652,25.714285714285715
Francisco Lindor,NYM,445,1960,45,18,7,6,32,16,2,3,28,46,46,39,38,30,26,54,16.612679036458335,28,112.439,32,10,27,Francisco Lindor,12916,596019,33.81481481481482,26.285714285714285
Bobby Witt Jr.,KCR,432,1873,19,24,9,12,20,10,9,6,25,8,71,34,36,12,18,18,16.072911910303812,21,116.885,30,39,19,Bobby Witt Jr.,25764,677951,41.75806451612903,27.285714285714285
Adolis García,TEX,423,1785,68,13,17,10,50,44,43,48,50,70,53,75,73,29,17,53,14.671422760599736,11,116.077,16,42,49,Adolis Garcia,19287,666969,31.595238095238095,29.142857142857142
Ketel Marte,ARI,403,1708,54,32,23,40,21,25,34,27,26,35,27,28,26,22,19,49,10.992376245681209,42,117.061,24,26,21,Ketel Marte,13613,606466,33.78947368421053,29.571428571428573
Teoscar Hernández,- - -,413,1732,44,23,53,24,40,42,54,50,36,44,63,77,65,24,20,10,11.31926535338518,8,114.127,13,46,40,Teoscar Hernandez,13066,606192,34.6,30.571428571428573
Alex Bregman,HOU,432,1889,53,31,15,23,27,28,17,17,24,45,12,6,19,34,39,73,18.39775528169014,62,109.178,53,43,24,Alex Bregman,17678,608324,41.7,31.142857142857142
Eugenio Suárez,- - -,433,1807,70,26,57,21,55,52,21,38,48,75,25,79,58,52,29,38,19.331801113617352,15,111.422,41,49,55,Eugenio Suarez,12552,553993,37.4468085106383,31.285714285714285
Willy Adames,MIL,412,1787,72,22,36,16,56,60,4,28,61,74,32,73,72,42,24,66,18.795217164805237,16,112.287,48,52,56,Willy Adames,15986,642715,43.9041095890411,32.42857142857143
Ian Happ,CHC,434,1826,65,39,33,33,35,32,52,39,38,60,10,63,27,40,37,32,12.825279469460847,35,113.971,46,51,33,Ian Happ,17919,664023,25.387096774193548,32.42857142857143
Matt Chapman,- - -,418,1728,76,34,31,55,45,43,20,31,43,73,17,74,47,45,27,43,18.0493960021449,9,114.276,7,74,45,Matt Chapman,16505,656305,31.976190476190474,32.857142857142854
William Contreras,- - -,358,1520,23,52,41,53,17,34,18,29,19,16,29,54,17,25,38,6,5.667133380157019,27,118.146,17,32,22,William Contreras,20503,661388,27.38095238095238,33.57142857142857
Brandon Nimmo,NYM,419,1871,46,45,14,48,25,20,36,21,22,49,16,51,18,41,45,31,9.63548761522956,37,111.971,29,12,23,Brandon Nimmo,12927,607043,29.975,34
Jose Altuve,HOU,351,1549,9,37,22,70,7,7,32,10,7,4,35,20,7,15,28,7,14.434924238936423,54,109.764,76,16,8,Jose Altuve,5417,514888,22.666666666666668,34
Julio Rodríguez,SEA,393,1713,18,27,30,38,38,19,22,16,23,23,64,71,39,27,36,3,8.86207690903329,20,117.197,12,11,37,Julio Rodriguez,23697,677594,32.753246753246756,35.142857142857146
Bryan Reynolds,PIT,408,1783,32,28,45,39,31,39,67,56,40,38,48,56,35,31,30,27,10.709627833818637,33,113.194,25,22,31,Bryan Reynolds,19326,668804,35.89655172413793,35.57142857142857
Will Smith,LAD,363,1564,58,43,54,34,39,45,15,36,41,54,28,26,32,35,34,68,17.76231534090909,36,110.832,43,36,39,Will Smith,19197,669257,46.795918367346935,36.42857142857143
Randy Arozarena,- - -,423,1791,61,42,34,41,43,35,61,53,34,64,24,66,29,50,44,33,11.067631363337004,34,114.258,31,58,42,Randy Arozarena,19290,668227,31.266666666666666,37.42857142857143
