Name,Team,G,PA,1B,HR,R,RBI,wOBA,Off,Def,WAR,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LA,Barrel%,maxEV,HardHit%,WPA,wRAA,NameASCII,PlayerId,MLBAMID
"Trent Grisham","- - -",371,1265,111,37,144,127,0.2913819113380915,-15.976071757729102,11.483580574393272,3.9651706831538522,87.25908954003388,77.86468768985951,142.53920294459843,123.32060311574105,94.63095291943033,86.4914632363107,99.77141577239176,83.06591218403616,17.172795141984665,0.10201342,112.337,0.38657718,-2.1825002133846283,-22.873008259571094,"Trent Grisham",18564,663757
"Max Muncy","LAD",311,1311,109,66,188,202,0.3317211828440245,17.354086186475524,-7.130752980709076,5.641175006723836,112.21988510542931,83.72547018135403,175.23438054297665,116.83970283416684,103.8401025070482,107.0400245603645,142.78143197607187,77.65175876404335,22.189627742135762,0.13588391,111.151,0.45382586,1.9883261993527412,19.389328441786983,"Max Muncy",13301,571970
"Jack Suwinski","PIT",338,1183,115,54,137,138,0.31274110757403184,-1.6766318226930519,-10.660432934761047,2.843684802398978,96.2958167116698,83.76376933791644,141.20393031082804,137.5039617861581,96.91439744164337,100.3181071314305,125.72896299735865,87.4988174979722,17.33639642491914,0.12801205,114.745,0.40963855,0.019984513521194458,-0.9406462288227697,"Jack Suwinski",22244,669261
"Paul DeJong","- - -",303,1039,120,40,105,110,0.2772508612381253,-36.181368389810274,19.72327111661434,1.8992742125858864,75.19193413918804,84.39241246874812,68.37468912638963,139.14588209117554,83.77518860194456,91.58727797118446,102.60125588333328,90.32340161914578,19.350277503955308,0.08477237,111.53,0.37048666,-4.269008561968803,-30.700266878996818,"Paul DeJong",18015,657557
"Jose Siri","- - -",308,1052,112,46,151,118,0.28920546837272026,-6.485516475786941,31.3841363042593,6.07087300008952,88.98449566498566,86.24253082841648,78.06873600274574,156.41076587786353,85.58614353397125,100.24805233171314,121.24553853937492,97.29386168131093,14.881257241459217,0.11276949,113.669,0.37645108,-2.35796582698822,-20.169246296671705,"Jose Siri",17452,642350
"JJ Bleday","- - -",269,1033,101,30,113,88,0.3061791407830507,-2.7069998513500426,-6.441245913505554,2.6138246890583012,98.51099444859382,87.49562274009367,145.0603897215798,97.94557295037414,98.99731543682506,95.97409032180227,108.92290120350994,86.40314462412576,19.072102134715994,0.07555556,113.256,0.34962963,-2.5079811215400696,-5.508491923991892,"JJ Bleday",26368,668709
"Giancarlo Stanton","NYY",294,1204,122,75,134,190,0.318127214709586,-1.2563637275229205,-28.27892330288887,1.0594812918285035,105.27230502032684,87.5587359647208,118.30897611402558,133.41162294659304,92.91205894968661,112.92598148538467,152.4779014745982,82.55073145890654,12.472726734113493,0.17704011,120.042,0.50760719,-0.6468881964683533,4.593966642024089,"Giancarlo Stanton",4949,519317
"Shea Langeliers","OAK",279,1048,104,50,109,146,0.30206710568781897,-6.376161156043313,-7.355900883674622,2.1512845867894415,96.50437960995076,87.98748695496347,85.81807912570186,128.88852816458106,88.07945620847501,107.0643847383753,136.19216322831264,87.73972133369516,17.63784376635036,0.13221884,113.365,0.4331307,-1.4290335606783628,-10.590613434843622,"Shea Langeliers",25816,669127
"Chris Taylor","LAD",299,1027,118,28,113,114,0.2988277846936377,-7.672835690488849,-6.17851448059082,2.195340855590236,90.27282181755464,88.24306950200103,123.83851111855351,150.31858659841885,96.6529564009472,91.4517952435015,96.32437178530179,107.45858339707274,19.963953121474503,0.09625668,110.761,0.35294118,-0.3037371039390564,-11.799557835848812,"Chris Taylor",13757,621035
"Kyle Schwarber","PHI",428,1915,169,121,292,276,0.35700188141024497,56.23655896870026,-64.13140594959259,5.955940584720613,127.9074618484621,88.93513287658732,184.3472809007303,129.74900921040987,108.85305297336159,119.98702934536749,167.8869571775908,83.73452497939505,18.135180593569537,0.16874401,115.557,0.52253116,5.676781058311462,67.7005607188081,"Kyle Schwarber",16478,656941
