Name,Team,Pos,Inn,DRS,ARM,UZR,UZR/150,Def,FRM,OAA,FRV,NameASCII,PlayerId,MLBAMID
"Jose Trevino","NYY","C",1247.2,28,,,,42.6200299998941,26.269999027252197,,26,"Jose Trevino",16725,624431
"Dansby Swanson","- - -","SS",2712.1,27,,6.782439596951008,4.051486273531188,42.366949697180885,,40,30,"Dansby Swanson",18314,621020
"Sean Murphy","- - -","C",1870,9,,,,40.868724405909354,15.199999809265137,,25,"Sean Murphy",19352,669221
"Adley Rutschman","BAL","C",1696.2,20,,,,38.720183308182456,16.170000076293945,,17,"Adley Rutschman",26288,668939
"Jonah Heim","TEX","C",1894,14,,,,36.18542387006622,18.369999885559082,,23,"Jonah Heim",16930,641680
"Alejandro Kirk","TOR","C",1429,26,,,,35.61259310067613,17.199999809265137,,20,"Alejandro Kirk",22581,672386
"Austin Hedges","- - -","C",1406.2,19,,,,34.75097665937831,21.249999523162842,,16,"Austin Hedges",12976,595978
"Cal Raleigh","SEA","C",1955,16,,,,34.22854941837643,16.56999969482422,,15,"Cal Raleigh",21534,663728
"Willy Adames","MIL","SS",2481.2,17,,11.408434212207794,5.598455546918329,31.378993987588345,,25,20,"Willy Adames",15986,642715
"Ke'Bryan Hayes","PIT","3B",2140.1,45,,9.381153643131256,6.494533834057241,30.62607527103442,,35,26,"Ke'Bryan Hayes",18577,663647
"Christian Vázquez","- - -","C",1663,14,,,,28.841150974457932,12.879999995231628,,7,"Christian Vazquez",9774,543877
"Francisco Lindor","NYM","SS",2744,5,,13.339143082499504,6.19007282081393,25.7707136857095,,17,13,"Francisco Lindor",12916,596019
"Andrés Giménez","CLE","2B",2381,39,,13.405694633722305,5.083211072506301,25.737307706300705,,31,23,"Andres Gimenez",19950,665926
"J.T. Realmuto","PHI","C",2273.2,7,,,,25.2901159274601,-11.110000133514404,,4,"J.T. Realmuto",11739,592663
"Kyle Higashioka","NYY","C",1264.1,4,,,,23.499647552306733,15.569999694824219,,7,"Kyle Higashioka",5517,543309
"Jonathan Schoop","DET","2B",1266.2,10,,3.1202917397022247,4.396971202355448,22.968999328281846,,29,22,"Jonathan Schoop",11265,570731
"William Contreras","- - -","C",1461.1,1,,,,21.593361953133765,11.580000400543213,,2,"William Contreras",20503,661388
"Miguel Rojas","- - -","SS",2067.1,27,,6.277281105518341,4.976893762086812,21.371041883544585,,16,12,"Miguel Rojas",7802,500743
"Nick Fortes","MIA","C",1215,9,,,,21.27761796185311,7.629999876022339,,5,"Nick Fortes",21538,663743
"Travis d'Arnaud","ATL","C",1406.1,6,,,,20.29717635503559,12.619999647140503,,10,"Travis d'Arnaud",7739,518595
"Jose Siri","- - -","CF",1584.2,6,1.2124812304973602,12.900997370481491,11.210718339091024,20.057239934641895,,23,24,"Jose Siri",17452,642350
"Ryan McMahon","COL","3B",2279.1,27,,10.229813158512115,4.796073225533207,19.80934587141571,,20,15,"Ryan McMahon",15112,641857
"Victor Caratini","MIL","C",1191,2,,,,18.9316270655573,10.070000171661377,,6,"Victor Caratini",14968,605170
"Nolan Arenado","STL","3B",2214.1,20,,12.118427269160748,7.372163023552872,18.836511112019295,,19,14,"Nolan Arenado",9777,571448
"Xander Bogaerts","- - -","SS",2535.1,1,,4.885400265455246,2.3168430367387924,18.810651732909875,,8,7,"Xander Bogaerts",12161,593428
"Brandon Crawford","SFG","SS",1704.2,-20,,-8.346077561378479,-6.088225972167145,18.797577738968084,,13,11,"Brandon Crawford",5343,543063
"Manny Machado","SDP","3B",2062,1,,3.8930364549160004,2.533007625533246,18.750546649551996,,19,14,"Manny Machado",11493,592518
