Name,Team,PA,HR,BB,SO,NameASCII,PlayerId,MLBAMID
"Pete Rose","- - -",15876,160,1566,1143,"Pete Rose",1011217,121454
"Carl Yastrzemski","BOS",13991,452,1845,1393,"Carl Yastrzemski",1014326,124650
"Hank Aaron","- - -",13940,755,1402,1383,"Hank Aaron",1000001,110001
"Rickey Henderson","- - -",13346,297,2190,1694,"Rickey Henderson",194,115749
"Ty Cobb","- - -",13072,117,1249,357,"Ty Cobb",1002378,112431
"Albert Pujols","- - -",13041,703,1373,1404,"Albert Pujols",1177,405395
"Cal Ripken Jr.","BAL",12883,431,1129,1305,"Cal Ripken Jr.",1010978,121222
"Eddie Murray","- - -",12817,504,1333,1516,"Eddie Murray",1009386,119579
"Stan Musial","STL",12712,475,1599,696,"Stan Musial",1009405,119602
"Barry Bonds","- - -",12606,762,2558,1539,"Barry Bonds",1109,111188
"Derek Jeter","NYY",12602,260,1082,1840,"Derek Jeter",826,116539
"Willie Mays","- - -",12541,660,1468,1526,"Willie Mays",1008315,118495
"Craig Biggio","HOU",12504,291,1160,1753,"Craig Biggio",549,110987
"Dave Winfield","- - -",12358,465,1216,1686,"Dave Winfield",1014127,124448
"Robin Yount","MIL",12249,251,966,1350,"Robin Yount",1014396,124721
"Alex Rodriguez","- - -",12207,696,1338,2287,"Alex Rodriguez",1274,121347
"Paul Molitor","- - -",12167,234,1094,1244,"Paul Molitor",1009040,119236
"Adrian Beltré","- - -",12130,477,848,1732,"Adrian Beltre",639,134181
"Rafael Palmeiro","- - -",12046,569,1353,1348,"Rafael Palmeiro",1266,120191
"Eddie Collins","- - -",12037,47,1499,286,"Eddie Collins",1002451,112506
"Omar Vizquel","- - -",12013,80,1028,1087,"Omar Vizquel",411,123744
"Tristram Speaker","- - -",11988,117,1381,220,"Tristram Speaker",1012309,122566
"Miguel Cabrera","- - -",11796,511,1258,2105,"Miguel Cabrera",1744,408234
"Brooks Robinson","BAL",11782,268,860,990,"Brooks Robinson",1011055,121301
"Frank Robinson","- - -",11743,586,1420,1532,"Frank Robinson",1011066,121311
"Honus Wagner","- - -",11739,101,963,327,"Honus Wagner",1013485,123784
"George Brett","KCR",11625,317,1096,907,"George Brett",1001400,111437
"Al Kaline","DET",11597,399,1277,1020,"Al Kaline",1006678,116822
"Reggie Jackson","- - -",11416,563,1375,2597,"Reggie Jackson",1006308,116439
"Mel Ott","NYG",11337,511,1708,896,"Mel Ott",1009904,120117
"Joe Morgan","- - -",11329,268,1865,1015,"Joe Morgan",1009179,119371
"Cap Anson","- - -",11319,97,983,302,"Cap Anson",1000272,110284
"Ken Griffey Jr.","- - -",11304,630,1312,1779,"Ken Griffey Jr.",327,115135
"Rabbit Maranville","- - -",11256,28,839,756,"Rabbit Maranville",1008099,118276
"Lou Brock","- - -",11238,149,761,1730,"Lou Brock",1001458,111495
"Luis Aparicio","- - -",11230,83,736,742,"Luis Aparicio",1000278,110290
"Rusty Staub","- - -",11229,292,1255,888,"Rusty Staub",1012440,122699
"Harold Baines","- - -",11092,384,1062,1441,"Harold Baines",1000434,110456
"Carlos Beltrán","- - -",11031,435,1084,1795,"Carlos Beltran",589,136860
"Gary Sheffield","- - -",10947,509,1475,1171,"Gary Sheffield",114,122111
"Johnny Damon","- - -",10917,235,1003,1257,"Johnny Damon",185,113028
"Tony Perez","- - -",10861,379,925,1867,"Tony Perez",1010188,120404
"Ozzie Smith","- - -",10778,28,1072,589,"Ozzie Smith",1012186,122439
"Max Carey","- - -",10770,70,1040,695,"Max Carey",1001944,111989
"Andre Dawson","- - -",10768,438,589,1508,"Andre Dawson",1003091,113151
"Paul Waner","- - -",10762,113,1091,376,"Paul Waner",1013597,123905
"Wade Boggs","- - -",10740,118,1412,745,"Wade Boggs",1001124,111153
"Darrell Evans","- - -",10737,414,1605,1410,"Darrell Evans",1003864,113935
"Ichiro Suzuki","- - -",10734,117,647,1080,"Ichiro Suzuki",1101,400085
"Babe Ruth","- - -",10616,714,2062,1330,"Babe Ruth",1011327,121578
"Chipper Jones","ATL",10614,468,1512,1409,"Chipper Jones",97,116706
"Sam Crawford","- - -",10594,97,760,104,"Sam Crawford",1002748,112806
"Dwight Evans","- - -",10569,385,1391,1697,"Dwight Evans",1003865,113936
"Rod Carew","- - -",10550,92,1018,1028,"Rod Carew",1001942,111986
"Luis Gonzalez","- - -",10531,354,1155,1218,"Luis Gonzalez",55,114935
"Billy Williams","- - -",10519,426,1045,1046,"Billy Williams",1013975,124290
"Jake Beckley","- - -",10470,86,616,270,"Jake Beckley",1000754,110776
"Steve Finley","- - -",10460,304,844,1299,"Steve Finley",54,114135
"Nap Lajoie","- - -",10460,83,516,85,"Nap Lajoie",1007259,117414
"Vada Pinson","- - -",10403,256,574,1196,"Vada Pinson",1010360,120590
"Roberto Alomar","- - -",10400,210,1032,1140,"Roberto Alomar",860,110183
"Ernie Banks","CHC",10395,512,763,1236,"Ernie Banks",1000512,110533
"Bill Dahlen","- - -",10390,84,1064,269,"Bill Dahlen",1002924,112991
"Tim Raines","- - -",10359,170,1330,966,"Tim Raines",1406,120891
"Nellie Fox","- - -",10349,35,719,216,"Nellie Fox",1004281,114361
"Jim Thome","- - -",10313,612,1747,2548,"Jim Thome",409,123272
"Ivan Rodriguez","- - -",10270,311,513,1474,"Ivan Rodriguez",1275,121358
"Sam Rice","- - -",10246,34,708,275,"Sam Rice",1010900,121137
"Harry Hooper","- - -",10244,75,1136,412,"Harry Hooper",1006002,116127
"Luke Appling","CHW",10243,45,1302,528,"Luke Appling",1000284,110297
"Jimmy Rollins","- - -",10240,231,813,1264,"Jimmy Rollins",971,276519
"Charlie Gehringer","DET",10237,184,1186,372,"Charlie Gehringer",1004596,114682
"Tony Gwynn","SDP",10232,135,790,434,"Tony Gwynn",1005166,115270
"Graig Nettles","- - -",10227,390,1088,1209,"Graig Nettles",1009517,119720
"Roberto Clemente","PIT",10212,240,621,1230,"Roberto Clemente",1002340,112391
"Dave Parker","- - -",10184,339,683,1537,"Dave Parker",1010000,120225
"Fred McGriff","- - -",10174,493,1305,1882,"Fred McGriff",293,118730
"George Davis","- - -",10151,73,870,180,"George Davis",1003049,113106
"Eddie Mathews","- - -",10101,512,1444,1487,"Eddie Mathews",1008236,118416
"Frankie Frisch","- - -",10100,105,728,272,"Frankie Frisch",1004364,114448
"David Ortiz","- - -",10091,541,1319,1750,"David Ortiz",745,120074
"Bobby Abreu","- - -",10081,288,1476,1840,"Bobby Abreu",945,110029
"Frank Thomas","- - -",10075,521,1667,1397,"Frank Thomas",255,123245
"Mike Schmidt","PHI",10062,548,1507,1883,"Mike Schmidt",1011586,121836
"Bill Buckner","- - -",10037,174,450,453,"Bill Buckner",1001625,111663
"Buddy Bell","- - -",10009,201,836,776,"Buddy Bell",1000799,110815
"Chili Davis","- - -",9997,350,1194,1698,"Chili Davis",1003041,113099
"Zack Wheat","- - -",9996,132,650,559,"Zack Wheat",1013828,124134
