"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2023","-6","39.7","-0.6","-0.9","0.8","-0.7","32.1","68","27"
"Arozarena, Randy","668227","2023","-5","43.4","-1.3","-0.6","0","-1.9","31.4","76","33"
"Baddoo, Akil","668731","2023","0","44.1","-0.2","-0.3","0.3","-0.2","32.7","34","15"
"Bader, Harrison","664056","2023","6","72.3","1.6","-0.4","0.2","1.5","36.5","47","34"
"Bauers, Jake","641343","2023","-1","40.5","-0.9","0.3","0.4","-0.2","32.6","37","15"
"Benintendi, Andrew","643217","2023","-10","32.4","-1.3","-0.2","0.1","-1.4","31.7","68","22"
"Benson, Will","666181","2023","-5","39.6","-0.6","-0.7","-0.2","-1.5","32.1","48","19"
"Betts, Mookie","605141","2023","-2","39.5","0","-0.5","0.5","-0.1","33.8","38","15"
"Bleday, JJ","668709","2023","-4","35.7","-1.1","-0.6","0","-1.7","32.4","42","15"
"Brennan, Will","686823","2023","0","53.8","-0.2","-0.4","0.3","-0.4","32.8","52","28"
"Brown, Seth","664913","2023","-4","40","-0.8","0.3","-0.1","-0.5","33.4","40","16"
"Call, Alex","669743","2023","5","54.5","0.3","2.1","-0.4","2","36.6","77","42"
"Carlson, Dylan","666185","2023","0","56.1","-0.7","-0.5","0.4","-0.9","33.1","41","23"
"Carpenter, Kerry","681481","2023","-2","50","-0.5","0.1","-1.4","-1.8","31","42","21"
"Carroll, Corbin","682998","2023","3","45.7","1.1","1.9","-1.4","1.5","34.7","70","32"
"Castellanos, Nick","592206","2023","-7","27.6","-2","-0.4","0.1","-2.4","30.6","58","16"
"Castro, Willi","650489","2023","-4","35","-1.2","0","-0.8","-2.1","31.7","40","14"
"Chisholm Jr., Jazz","665862","2023","4","55.1","1","0.7","0.3","2","36.8","49","27"
"Conforto, Michael","624424","2023","-4","34.1","-0.7","-0.1","0.1","-0.7","31.1","44","15"
"De La Cruz, Bryan","650559","2023","-9","37.1","-0.7","-0.1","0.2","-0.6","32.6","89","33"
"Doyle, Brenton","686668","2023","12","67.5","1.1","-0.9","0.3","0.4","34.8","80","54"
"Duran, Jarren","680776","2023","0","55.6","1.3","1.5","-0.1","2.6","36.9","36","20"
"Duvall, Adam","594807","2023","-5","31.6","-0.6","0.9","-1.1","-0.7","32.7","38","12"
"Edman, Tommy","669242","2023","5","69.4","0.5","-0.2","-0.1","0.1","34.4","36","25"
"Fairchild, Stuart","656413","2023","1","57.1","0.4","-0.1","0.4","0.6","34.5","35","20"
"Fraley, Jake","641584","2023","1","48.8","1.9","0.2","0.1","2.2","35.3","41","20"
"Friedl, TJ","670770","2023","5","55.4","1","1.4","-1.8","0.6","34.3","56","31"
"García, Adolis","666969","2023","0","50.6","0.7","0.6","0","1.3","35.2","89","45"
"Greene, Riley","682985","2023","0","54.1","-0.4","1.4","-1.7","-0.7","33.6","37","20"
"Grichuk, Randal","545341","2023","-6","27.3","-1.2","-1.6","0.4","-2.4","30.5","55","15"
"Grisham, Trent","663757","2023","5","62.7","0.2","1.5","-0.8","0.8","35.5","75","47"
"Gurriel Jr., Lourdes","666971","2023","0","52","-0.3","0.6","-0.3","0","33.4","50","26"
"Happ, Ian","664023","2023","-5","46.6","-0.7","0.9","-0.6","-0.3","33.6","73","34"
"Harris II, Michael","671739","2023","6","51.3","1.3","-0.2","0.3","1.4","35.8","78","40"
"Hays, Austin","669720","2023","-1","51.9","-0.9","-1.1","0.5","-1.5","32.2","54","28"
"Hernández, Teoscar","606192","2023","-2","41.2","-0.4","-0.5","0.8","-0.1","33.3","68","28"
"Heyward, Jason","518792","2023","5","66","0.5","0.3","-0.2","0.5","34.4","53","35"
"Hicks, Aaron","543305","2023","-3","43.5","-0.6","0.5","0","-0.1","34","46","20"
"Isbel, Kyle","664728","2023","10","68","1.6","2.4","-1.2","2.8","37.3","50","34"
"Jankowski, Travis","608671","2023","3","56.1","1","-0.1","-0.5","0.5","34.3","41","23"
"Jones, Nolan","666134","2023","-4","31.6","-1","-1.2","0.2","-2","30.8","38","12"
"Kelenic, Jarred","672284","2023","0","56.4","0.7","-0.2","-0.3","0.2","33.5","39","22"
"Kepler, Max","596146","2023","2","59.6","-0.1","-0.4","0.7","0.2","33.7","57","34"
"Kiermaier, Kevin","595281","2023","10","75","2.3","0.6","0.3","3.2","37.4","52","39"
"Kiner-Falefa, Isiah","643396","2023","-1","50","0.2","2.3","-0.4","2.1","35.9","34","17"
"Kwan, Steven","680757","2023","8","64.6","0.6","-0.6","0.7","0.8","33.9","82","53"
"Laureano, Ramón","657656","2023","-1","42","0.4","0.3","-0.2","0.5","34.4","50","21"
"Lowe, Josh","666139","2023","-1","52.2","0.1","-0.5","0.5","0.1","33.9","46","24"
"Margot, Manuel","622534","2023","1","55","0.5","1.3","-0.1","1.8","35.7","40","22"
"Marsh, Brandon","669016","2023","6","50","0.9","-0.6","0.1","0.5","35","76","38"
"Marte, Starling","516782","2023","-5","33.3","-1.2","-0.5","0.4","-1.3","31.8","36","12"
"Matos, Luis","682641","2023","-5","41.5","-0.8","-1.4","0.5","-1.7","32.2","41","17"
"McCarthy, Jake","664983","2023","2","66.7","0.8","-0.3","-0.4","0.1","33.7","39","26"
"McCormick, Chas","676801","2023","2","56.1","0.2","0.8","-0.4","0.6","35.1","57","32"
